,Bangande,Fulani,Dogon_Tomo_Kan,Dogon_Penange,Songhai_Hombori,Dogon_Jamsay,Songhai_Kikara,Dogon_Donno_So,Dogon_Mombo,Bozo,Totals
Bangande,,4,8,18,2,20,1,9,17,13,92
Fulani,4,,1,11,3,8,1,5,12,3,48
Dogon_Tomo_Kan,8,1,,10,8,15,0,6,11,3,62
Dogon_Penange,18,11,10,,6,17,1,7,41,10,121
Songhai_Hombori,2,3,8,6,,11,8,2,3,2,45
Dogon_Jamsay,20,8,15,17,11,,0,16,19,7,113
Songhai_Kikara,1,1,1,1,8,1,,1,1,1,16
Dogon_Donno_So,9,5,6,7,2,16,0,,13,2,60
Dogon_Mombo,17,12,11,41,3,19,1,13,,9,126
Bozo,13,3,3,10,2,7,1,2,9,,50
Averages,10.22222222,5.333333333,7,13.44444444,5,12.66666667,1.444444444,6.777777778,14,5.555555556,73.3
,,,,,,,,,,,
,Bangande,Fulani,Dogon_Tomo_Kan,Dogon_Penange,Songhai_Hombori,Dogon_Jamsay,Songhai_Kikara,Dogon_Donno_So,Dogon_Mombo,Bozo,Totals
Bangande,0,8.87,91.14,52.97,228.31,93.77,118.57,61.63,43.07,3.57,701.9
Fulani,8.87,0,96.75,56.18,232.4,98.94,121.49,70.5,50.73,7.16,743.02
Dogon_Tomo_Kan,91.14,96.75,0,45.37,280.98,150.95,186.99,74.43,52.68,90.36,1069.65
Dogon_Penange,52.97,56.18,45.37,0,269.36,133.99,165.16,69.77,34.25,51.06,878.11
Songhai_Hombori,228.31,232.4,280.98,269.36,0,206.86,112.87,206.86,206.86,231.8,1976.3
Dogon_Jamsay,93.77,98.94,150.95,133.99,206.86,0,38.74,77.42,102.93,97.32,1000.92
Songhai_Kikara,118.57,121.49,186.99,165.16,112.87,38.74,0,114.9,136.76,121.89,1117.37
Dogon_Donno_So,61.63,70.5,74.43,69.77,206.86,77.42,114.9,0,35.7,64.02,775.23
Dogon_Mombo,43.07,50.73,52.68,34.25,206.86,102.93,136.76,35.7,0,43.6,706.58
Bozo,3.57,7.16,90.36,51.06,231.8,97.32,121.89,64.02,43.6,0,710.78
Averages,70.19,74.302,106.965,87.811,197.63,100.092,111.737,77.523,70.658,71.078,967.986
