ID	Name	Family	SubGroup	Latitude	Longitude	Glottocode	Source
Ampari	Ampari	Dogon	South-Western_Dogon	14.15	-3.55	ampa1240	heathetal2015
Bambara	Bambara	Mande	Western_Mande	12.9	-7.65	bamb1269	dumestre2011
Bangime	Bangime	Isolate	Isolate	14.7984833	-3.76015	bang1363	hantheathBangLex
BankanTey	Bankan_Tey	Dogon	North-Eastern_Dogon	15.07	-2.91	bank1259	heathetal2015
BenTey	Ben_Tey	Dogon	North-Eastern_Dogon	14.8524	-2.94641667	bent1238	heathetal2015
BonduSo	Bondu_So	Dogon	North-Western_Dogon	14.98	-3.03	bond1252	heathetal2015
BozoDebo	Bozo_Debo	Mande	Soninke-Bozo			debo1238	SmeltzerandSmeltzer1995
BozoHainyaxo	Bozo_Hainyaxo	Mande	Soninke-Bozo	13.75	-5.75	hain1253	SmeltzerandSmeltzer1995
BozoKorondougounord	Bozo_Korondougou_nord	Mande	Soninke-Bozo			koro1305	SmeltzerandSmeltzer1995
BozoKorondougousud	Bozo_Korondougou_sud	Mande	Soninke-Bozo			koro1305	SmeltzerandSmeltzer1995
BozoKotya	Bozo_Kotya	Mande	Soninke-Bozo			koty1238	SmeltzerandSmeltzer1995
BozoPondorinord	Bozo_Pondori_nord	Mande	Soninke-Bozo			pond1250	SmeltzerandSmeltzer1995
BozoPondorisud	Bozo_Pondori_sud	Mande	Soninke-Bozo			pond1250	SmeltzerandSmeltzer1995
BozoTiemaCewe	Bozo_Tiema_Cewe	Mande	Soninke-Bozo	15.6	-4.3	tiem1235	SmeltzerandSmeltzer1995
BozoTieyaxo	Bozo_Tieyaxo	Mande	Soninke-Bozo	14.25	-5	tiey1235	SmeltzerandSmeltzer1995
Bunoge	Bunoge	Dogon	South-Western_Dogon	14.6532333	-3.79361667	buno1241	heathetal2015
DogulDom	Dogul_Dom	Dogon	South-Western_Dogon	14.49455	-3.56038333	dogu1235	heathetal2015
DonnoSo	Donno_So	Dogon	South-Eastern_Dogon	14.49455	-3.368	donn1239	heathetal2015
Fulfulde	Fulfulde	Atlantic	North-Central_Atlantic	14.49205	-3.61506667	maas1242	osbornetal1993
Gourou	Gourou	Dogon	North-Eastern_Dogon	14.0634	-3.24563333	guru1265	heathetal2015
Jamsay	Jamsay	Dogon	North-Eastern_Dogon	15.00045	-2.95395	jams1239	heathetal2015
Jenaama	Jenaama	Mande	Soninke-Bozo	15.5	-4	jena1242	heath2016jenaamalexicon
Mombo	Mombo	Dogon	South-Western_Dogon	14.4	-3.7	momb1254	heathetal2015
Najamba	Najamba	Dogon	North-Western_Dogon	14.9833333	-3.03333333	nadj1238	heathetal2015
Nanga	Nanga	Dogon	North-Eastern_Dogon	14.8193833	-3.01043333	nang1261	heathetal2015
Penange	Penange	Dogon	South-Western_Dogon	14.39385	-4.03238333	pena1270	heathetal2015
PergeTegu	Perge_Tegu	Dogon	North-Eastern_Dogon	14.85205	-3.305	perg1234	heathetal2015
SonghaiKiini	Songhai_Kiini	Songhai	Eastern_Songhai	15.2102833	-2.74956667	koyr1240	HeathSONG2005
SonghaiSenni	Songhai_Senni	Songhai	Eastern_Songhai	15.2778333	-1.69998333	humb1244	HeathSONG2015
Soninke	Soninke	Mande	Soninke-Bozo	13.13	-11.72	soni1259	creissels2016
TebulUre	Tebul_Ure	Dogon	North-Western_Dogon	14.685	-3.057	tebu1239	heathetal2015
TiranigeDiga	Tiranige_Diga	Dogon	South-Western_Dogon	14.85	-3.73333333	tira1258	heathetal2015
TogoKan	Togo_Kan	Dogon	South-Eastern_Dogon	13.933	-3.416	togo1254	heathetal2015
TommoSo	Tommo_So	Dogon	South-Eastern_Dogon	14.5608333	-3.39393333	tomm1242	heathetal2015
TomoKan	Tomo_Kan	Dogon	South-Eastern_Dogon	13.933	-3.416	tomo1243	heathetal2015
ToroSo	Toro_So	Dogon	South-Eastern_Dogon	14.4666667	-3.31666667	toro1252	heathetal2015
ToroTegu	Toro_Tegu	Dogon	North-Eastern_Dogon	15.0052667	-2.085	toro1253	heathetal2015
YandaDom	Yanda_Dom	Dogon	North-Western_Dogon	14.6471833	-3.14816667	yand1257	heathetal2015
YornoSo	Yorno_So	Dogon	North-Western_Dogon	14.5627	-3.2353	yorn1234	heathetal2015
